,Entity,Code,Year,Per capita plastic waste (kg/person/day),CO2eq min,CO2eq max
0,Albania,ALB,2010,0.069,0.1173,0.24150000000000002
1,Algeria,DZA,2010,0.144,0.24479999999999996,0.504
2,Angola,AGO,2010,0.062,0.1054,0.217
3,Anguilla,AIA,2010,0.252,0.4284,0.882
4,Antigua and Barbuda,ATG,2010,0.66,1.122,2.31
5,Argentina,ARG,2010,0.183,0.3111,0.6405
6,Aruba,ABW,2010,0.252,0.4284,0.882
7,Australia,AUS,2010,0.112,0.19039999999999999,0.392
8,Bahamas,BHS,2010,0.39,0.663,1.365
9,Bahrain,BHR,2010,0.132,0.22440000000000002,0.462
10,Bangladesh,BGD,2010,0.034,0.057800000000000004,0.11900000000000001
11,Barbados,BRB,2010,0.57,0.9689999999999999,1.9949999999999999
12,Belgium,BEL,2010,0.08,0.136,0.28
13,Belize,BLZ,2010,0.172,0.2924,0.602
14,Benin,BEN,2010,0.043,0.0731,0.1505
15,Bermuda,BMU,2010,0.252,0.4284,0.882
16,Bosnia and Herzegovina,BIH,2010,0.144,0.24479999999999996,0.504
17,Brazil,BRA,2010,0.165,0.2805,0.5775
18,British Virgin Islands,VGB,2010,0.252,0.4284,0.882
19,Brunei,BRN,2010,0.026,0.044199999999999996,0.091
20,Bulgaria,BGR,2010,0.154,0.2618,0.539
21,Cambodia,KHM,2010,0.066,0.11220000000000001,0.231
22,Cameroon,CMR,2010,0.046,0.07819999999999999,0.161
23,Canada,CAN,2010,0.093,0.1581,0.3255
24,Cape Verde,CPV,2010,0.065,0.1105,0.2275
25,Cayman Islands,CYM,2010,0.252,0.4284,0.882
26,Channel Islands,OWID_CIS,2010,0.252,0.4284,0.882
27,Chile,CHL,2010,0.119,0.20229999999999998,0.4165
28,China,CHN,2010,0.121,0.2057,0.4235
29,Christmas Island,CXR,2010,0.252,0.4284,0.882
30,Cocos Islands,CCK,2010,0.252,0.4284,0.882
31,Colombia,COL,2010,0.144,0.24479999999999996,0.504
32,Comoros,COM,2010,0.201,0.3417,0.7035
33,Congo,COG,2010,0.069,0.1173,0.24150000000000002
34,Cook Islands,COK,2010,0.144,0.24479999999999996,0.504
35,Costa Rica,CRI,2010,0.258,0.4386,0.903
36,Cote d'Ivoire,CIV,2010,0.103,0.17509999999999998,0.3605
37,Croatia,HRV,2010,0.252,0.4284,0.882
38,Cuba,CUB,2010,0.089,0.1513,0.3115
39,Curacao,CUW,2010,0.252,0.4284,0.882
40,Cyprus,CYP,2010,0.248,0.4216,0.868
41,Democratic Republic of Congo,COD,2010,0.045,0.0765,0.1575
42,Denmark,DNK,2010,0.047,0.0799,0.1645
43,Djibouti,DJI,2010,0.103,0.17509999999999998,0.3605
44,Dominica,DMA,2010,0.149,0.25329999999999997,0.5215
45,Dominican Republic,DOM,2010,0.144,0.24479999999999996,0.504
46,Ecuador,ECU,2010,0.147,0.24989999999999998,0.5145
47,Egypt,EGY,2010,0.178,0.3026,0.623
48,El Salvador,SLV,2010,0.147,0.24989999999999998,0.5145
49,Equatorial Guinea,GNQ,2010,0.144,0.24479999999999996,0.504
50,Eritrea,ERI,2010,0.045,0.0765,0.1575
51,Estonia,EST,2010,0.176,0.29919999999999997,0.616
52,Faeroe Islands,FRO,2010,0.252,0.4284,0.882
53,Falkland Islands,FLK,2010,0.252,0.4284,0.882
54,Fiji,FJI,2010,0.189,0.3213,0.6615
55,Finland,FIN,2010,0.234,0.3978,0.8190000000000001
56,France,FRA,2010,0.192,0.3264,0.672
57,French Guiana,GUF,2010,0.144,0.24479999999999996,0.504
58,French Polynesia,PYF,2010,0.252,0.4284,0.882
59,Gabon,GAB,2010,0.054,0.09179999999999999,0.189
60,Gambia,GMB,2010,0.048,0.0816,0.168
61,Georgia,GEO,2010,0.068,0.11560000000000001,0.23800000000000002
62,Germany,DEU,2010,0.485,0.8245,1.6975
63,Ghana,GHA,2010,0.04,0.068,0.14
64,Gibraltar,GIB,2010,0.252,0.4284,0.882
65,Greece,GRC,2010,0.2,0.34,0.7000000000000001
66,Greenland,GRL,2010,0.252,0.4284,0.882
67,Grenada,GRD,2010,0.325,0.5525,1.1375
68,Guadeloupe,GLP,2010,0.144,0.24479999999999996,0.504
69,Guam,GUM,2010,0.252,0.4284,0.882
70,Guatemala,GTM,2010,0.28,0.47600000000000003,0.9800000000000001
71,Guernsey,GGY,2010,0.252,0.4284,0.882
72,Guinea,GIN,2010,0.03,0.051,0.105
73,Guinea-Bissau,GNB,2010,0.054,0.09179999999999999,0.189
74,Guyana,GUY,2010,0.586,0.9961999999999999,2.0509999999999997
75,Haiti,HTI,2010,0.09,0.153,0.315
76,Honduras,HND,2010,0.189,0.3213,0.6615
77,Hong Kong,HKG,2010,0.398,0.6766,1.393
78,Iceland,ISL,2010,0.281,0.4777,0.9835
79,India,IND,2010,0.01,0.017,0.035
80,Indonesia,IDN,2010,0.057,0.0969,0.1995
81,Iran,IRN,2010,0.144,0.24479999999999996,0.504
82,Iraq,IRQ,2010,0.103,0.17509999999999998,0.3605
83,Ireland,IRL,2010,0.43,0.731,1.505
84,Israel,ISR,2010,0.297,0.5049,1.0394999999999999
85,Italy,ITA,2010,0.134,0.2278,0.46900000000000003
86,Jamaica,JAM,2010,0.034,0.057800000000000004,0.11900000000000001
87,Japan,JPN,2010,0.171,0.2907,0.5985
88,Jordan,JOR,2010,0.144,0.24479999999999996,0.504
89,Kenya,KEN,2010,0.027,0.045899999999999996,0.0945
90,Kiribati,KIR,2010,0.103,0.17509999999999998,0.3605
91,Kuwait,KWT,2010,0.686,1.1662000000000001,2.4010000000000002
92,Latvia,LVA,2010,0.124,0.2108,0.434
93,Lebanon,LBN,2010,0.094,0.1598,0.329
94,Liberia,LBR,2010,0.084,0.1428,0.29400000000000004
95,Libya,LBY,2010,0.144,0.24479999999999996,0.504
96,Lithuania,LTU,2010,0.132,0.22440000000000002,0.462
97,Macao,MAC,2010,0.368,0.6255999999999999,1.288
98,Madagascar,MDG,2010,0.016,0.0272,0.056
99,Malaysia,MYS,2010,0.198,0.3366,0.6930000000000001
100,Maldives,MDV,2010,0.322,0.5474,1.127
101,Malta,MLT,2010,0.214,0.36379999999999996,0.749
102,Marshall Islands,MHL,2010,0.192,0.3264,0.672
103,Martinique,MTQ,2010,0.252,0.4284,0.882
104,Mauritania,MRT,2010,0.045,0.0765,0.1575
105,Mauritius,MUS,2010,0.23,0.391,0.805
106,Mexico,MEX,2010,0.087,0.14789999999999998,0.3045
107,Micronesia (country),FSM,2010,0.103,0.17509999999999998,0.3605
108,Monaco,MCO,2010,0.252,0.4284,0.882
109,Montenegro,MNE,2010,0.144,0.24479999999999996,0.504
110,Montserrat,MSR,2010,0.144,0.24479999999999996,0.504
111,Morocco,MAR,2010,0.073,0.12409999999999999,0.2555
112,Mozambique,MOZ,2010,0.015,0.0255,0.0525
113,Myanmar,MMR,2010,0.075,0.1275,0.2625
114,Namibia,NAM,2010,0.144,0.24479999999999996,0.504
115,Nauru,NRU,2010,0.144,0.24479999999999996,0.504
116,Netherlands,NLD,2010,0.424,0.7208,1.484
117,Netherlands Antilles,ANT,2010,0.252,0.4284,0.882
118,New Caledonia,NCL,2010,0.252,0.4284,0.882
119,New Zealand,NZL,2010,0.331,0.5627,1.1585
120,Nicaragua,NIC,2010,0.143,0.24309999999999998,0.5005
121,Nigeria,NGA,2010,0.103,0.17509999999999998,0.3605
122,Niue,NIU,2010,0.252,0.4284,0.882
123,Norfolk Island,NFK,2010,0.103,0.17509999999999998,0.3605
124,North Korea,PRK,2010,0.054,0.09179999999999999,0.189
125,Northern Mariana Islands,MNP,2010,0.252,0.4284,0.882
126,Norway,NOR,2010,0.28,0.47600000000000003,0.9800000000000001
127,Oman,OMN,2010,0.084,0.1428,0.29400000000000004
128,Pakistan,PAK,2010,0.103,0.17509999999999998,0.3605
129,Palau,PLW,2010,0.144,0.24479999999999996,0.504
130,Palestine,PSE,2010,0.063,0.1071,0.2205
131,Panama,PAN,2010,0.145,0.24649999999999997,0.5075
132,Papua New Guinea,PNG,2010,0.103,0.17509999999999998,0.3605
133,Peru,PER,2010,0.144,0.24479999999999996,0.504
134,Philippines,PHL,2010,0.075,0.1275,0.2625
135,Poland,POL,2010,0.097,0.1649,0.3395
136,Portugal,PRT,2010,0.265,0.4505,0.9275
137,Puerto Rico,PRI,2010,0.252,0.4284,0.882
138,Qatar,QAT,2010,0.16,0.272,0.56
139,Reunion,REU,2010,0.144,0.24479999999999996,0.504
140,Romania,ROU,2010,0.042,0.0714,0.14700000000000002
141,Russia,RUS,2010,0.112,0.19039999999999999,0.392
142,Saint Helena,SHN,2010,0.144,0.24479999999999996,0.504
143,Saint Kitts and Nevis,KNA,2010,0.654,1.1118000000000001,2.289
144,Saint Lucia,LCA,2010,0.522,0.8874,1.827
145,Saint Pierre and Miquelon,SPM,2010,0.252,0.4284,0.882
146,Saint Vincent and the Grenadines,VCT,2010,0.221,0.3757,0.7735
147,Samoa,WSM,2010,0.103,0.17509999999999998,0.3605
148,Sao Tome and Principe,STP,2010,0.103,0.17509999999999998,0.3605
149,Saudi Arabia,SAU,2010,0.156,0.2652,0.546
150,Senegal,SEN,2010,0.103,0.17509999999999998,0.3605
151,Seychelles,SYC,2010,0.358,0.6085999999999999,1.253
152,Sierra Leone,SLE,2010,0.041,0.0697,0.14350000000000002
153,Singapore,SGP,2010,0.194,0.3298,0.679
154,Sint Maarten (Dutch part),SXM,2010,0.252,0.4284,0.882
155,Slovenia,SVN,2010,0.145,0.24649999999999997,0.5075
156,Solomon Islands,SLB,2010,0.103,0.17509999999999998,0.3605
157,Somalia,SOM,2010,0.054,0.09179999999999999,0.189
158,South Africa,ZAF,2010,0.24,0.408,0.84
159,South Korea,KOR,2010,0.112,0.19039999999999999,0.392
160,Spain,ESP,2010,0.277,0.47090000000000004,0.9695
161,Sri Lanka,LKA,2010,0.357,0.6069,1.2494999999999998
162,Sudan,SDN,2010,0.103,0.17509999999999998,0.3605
163,Suriname,SUR,2010,0.163,0.2771,0.5705
164,Sweden,SWE,2010,0.048,0.0816,0.168
165,Syria,SYR,2010,0.178,0.3026,0.623
166,Taiwan,TWN,2010,0.252,0.4284,0.882
167,Tanzania,TZA,2010,0.023,0.039099999999999996,0.0805
168,Thailand,THA,2010,0.144,0.24479999999999996,0.504
169,Togo,TGO,2010,0.057,0.0969,0.1995
170,Tokelau,TKL,2010,0.103,0.17509999999999998,0.3605
171,Tonga,TON,2010,0.223,0.3791,0.7805
172,Trinidad and Tobago,TTO,2010,0.29,0.49299999999999994,1.015
173,Tunisia,TUN,2010,0.144,0.24479999999999996,0.504
174,Turkey,TUR,2010,0.212,0.3604,0.742
175,Turks and Caicos Islands,TCA,2010,0.252,0.4284,0.882
176,Tuvalu,TUV,2010,0.144,0.24479999999999996,0.504
177,Ukraine,UKR,2010,0.103,0.17509999999999998,0.3605
178,United Arab Emirates,ARE,2010,0.199,0.3383,0.6965
179,United Kingdom,GBR,2010,0.215,0.3655,0.7525
180,United States,USA,2010,0.335,0.5695,1.1725
181,Uruguay,URY,2010,0.252,0.4284,0.882
182,Vanuatu,VUT,2010,0.295,0.5015,1.0325
183,Venezuela,VEN,2010,0.252,0.4284,0.882
184,Vietnam,VNM,2010,0.103,0.17509999999999998,0.3605
185,Yemen,YEM,2010,0.103,0.17509999999999998,0.3605
