PLASTICS_APPLICATIONS,Plastiques applications,TIME,Temps,Value,Flag Codes,Flags
OTHER,Autres,1990,1990,19.433,,
OTHER,Autres,1991,1991,20.16,,
OTHER,Autres,1992,1992,21.44,,
OTHER,Autres,1993,1993,22.333,,
OTHER,Autres,1994,1994,24.513,,
OTHER,Autres,1995,1995,25.454,,
OTHER,Autres,1996,1996,27.294,,
OTHER,Autres,1997,1997,29.319,,
OTHER,Autres,1998,1998,30.655,,
OTHER,Autres,1999,1999,32.965,,
OTHER,Autres,2000,2000,34.694,,
OTHER,Autres,2001,2001,35.538,,
OTHER,Autres,2002,2002,37.812,,
OTHER,Autres,2003,2003,39.383,,
OTHER,Autres,2004,2004,41.888,,
OTHER,Autres,2005,2005,43.074,,
OTHER,Autres,2006,2006,45.793,,
OTHER,Autres,2007,2007,48.356,,
OTHER,Autres,2008,2008,46.076,,
OTHER,Autres,2009,2009,47.253,,
OTHER,Autres,2010,2010,51.246,,
OTHER,Autres,2011,2011,53.273,,
OTHER,Autres,2012,2012,55.242,,
OTHER,Autres,2013,2013,57.555,,
OTHER,Autres,2014,2014,58.528,,
OTHER,Autres,2015,2015,60.28,,
OTHER,Autres,2016,2016,61.139,,
OTHER,Autres,2017,2017,62.728,,
OTHER,Autres,2018,2018,64.576,,
OTHER,Autres,2019,2019,66.315,,
PACKAGING,Emballages,1990,1990,39.82,,
PACKAGING,Emballages,1991,1991,41.35,,
PACKAGING,Emballages,1992,1992,44.021,,
PACKAGING,Emballages,1993,1993,45.901,,
PACKAGING,Emballages,1994,1994,50.433,,
PACKAGING,Emballages,1995,1995,52.424,,
PACKAGING,Emballages,1996,1996,56.273,,
PACKAGING,Emballages,1997,1997,60.512,,
PACKAGING,Emballages,1998,1998,63.337,,
PACKAGING,Emballages,1999,1999,68.182,,
PACKAGING,Emballages,2000,2000,71.837,,
PACKAGING,Emballages,2001,2001,73.664,,
PACKAGING,Emballages,2002,2002,78.464,,
PACKAGING,Emballages,2003,2003,81.814,,
PACKAGING,Emballages,2004,2004,87.116,,
PACKAGING,Emballages,2005,2005,89.684,,
