Annee,Scenario,Plastiques collectes,Papiers-cartons collectes,Bois collecte,Plastiques pour recyclage,Papiers cartons pour recyclage,Bois pour recyclage
2015,,,,,,,
2030,TEND,3328,8240,7055,817,3774,1873
2030,S1,2489,6973,5690,1485,5050,1905
2030,S2,2381,7277,6090,1754,4999,2318
2030,S3,3357,8045,4970,1235,5176,2863
2030,S4,3294,8500,7176,1001,5031,3232
2050,TEND,2572,8128,6266,1100,4624,2064
2050,S1,1503,6131,3859,1077,4583,1085
2050,S2,1755,6844,4708,1306,4605,1533
2050,S3,2712,8578,6952,708,2634,1488
2050,S4,2815,9030,7197,1505,5665,2456
