,Country,2004,2006,2008,2010,2012,2014,2016,2018
2,Belgique,1332559,631509,1074910,716165,651775,1395458,715623,745450
3,Bulgarie,44246,25864,72972,59950,99922,196124,213449,260939
4,Tchéquie,169315,214116,232260,253923,325623,347929,430416,565453
5,Danemark,53996,53779,72692,78548,104816,98820,114585,105457
6,Allemagne,1138544,1413697,1936296,2288466,2530498,2704367,2734235,2864626
7,Estonie,74358,89683,93713,25390,22706,32966,42836,52389
8,Irlande,309155,358202,39128,335134,121812,183148,148536,158578
9,Grèce,355234,755493,672636,226992,133232,192248,256905,203069
10,Espagne,1205087,1616607,1903919,1465233,1142921,1105552,731064,815282
11,France,1252500,1166210,1551260,1436697,1646794,1729628,1955098,2058723
12,Croatie,63232,186368,29505,24807,39186,49116,65131,71670
13,Italie,1394288,1564187,1608694,2141461,2781865,3215966,3931868,4388081
14,Chypre,76365,56708,68365,83994,4243,5242,6222,8352
15,Lettonie,720,12122,8556,8116,21576,23397,61891,89055
16,Lituanie,17687,29869,30555,39960,50638,73131,88744,102441
17,Luxembourg,17796,32195,19562,27304,26329,26325,28860,30005
18,Hongrie,125321,146575,150309,151480,185787,243630,221334,207563
19,Malte,223,673,2370,3520,4359,5660,8657,7201
20,Pays-Bas,373761,377778,409640,518143,574632,570769,521658,562236
21,Autriche,589335,350081,640521,564604,357595,371417,371236,380208
22,Pologne,195685,325373,407167,863236,969653,1188512,1296322,1775671
23,Portugal,234411,996201,193001,165192,176396,232192,307204,370413
24,Roumanie,190688,580044,418975,407225,488164,345617,280235,301379
25,Slovénie,38289,43486,47275,56280,47777,61829,59273,69460
26,Slovaquie,42470,75298,94192,111327,108140,124269,148697,192170
27,Finlande,79235,125325,87033,71352,91349,116859,87361,120091
28,Suède,165970,188173,223251,218839,175836,301187,315976,396061
