;Year;Tendance;Scenario 1;Scenario 2;Scenario 3;Scenario 4;;;;;;;;;;;;;;;;;;;;;;;
0;2004;11580000;11580000;11580000;11580000;11580000;;;;;;;;;;;;;;;;;;;;;;;
1;2006;14860000;14860000;14860000;14860000;14860000;;;;;;;;;;;;;;;;;;;;;;;
2;2008;14580000;14580000;14580000;14580000;14580000;;;;;;;;;;;;;;;;;;;;;;;
3;2010;14370000;14370000;14370000;14370000;14370000;;;;;;;;;;;;;;;;;;;;;;;
4;2012;15260000;15260000;15260000;15260000;15260000;;;;;;;;;;;;;;;;;;;;;;;
5;2014;17620000;17620000;17620000;17620000;17620000;;;;;;;;;;;;;;;;;;;;;;;
6;2016;18090000;18090000;18090000;18090000;18090000;;;;;;;;;;;;;;;;;;;;;;;
7;2018;19820000;19820000;19820000;19820000;19820000;;;;;;;;;;;;;;;;;;;;;;;
;2030;3328000;2489000;2381000;3357000;3294000;;;;;;;;;;;;;;;;;;;;;;;
;2050;2572000;1503000;1755000;2712000;2815000;;;;;;;;;;;;;;;;;;;;;;;
